current,-600,-575,-550,-525,-500,-475,-450,-425,-400,-375,-350,-325,-300,-275,-250,-225,-200,-175,-150,-125,-100,-75,-50,-25,0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600
-0.1935,-6.788587567,-6.695238371,-6.551411909,-6.475884666,-6.338771075,-6.216507218,-6.078309961,-5.953766868,-5.812250121,-5.743584687,-5.701471234,-5.180587744,-5.02701467,-4.948063525,-4.85872666,-4.660239088,-4.505926635,-4.4151725,-4.112840202,-3.969181609,-3.901538321,-3.827608181,-3.621824509,-3.425573352,-3.32821984,-3.326697493,-3.414473787,-3.531058309,-3.661712594,-3.739969708,-3.898200498,-3.988153568,-4.023854329,-4.707598507,-4.880017154,-5.113722146,-5.142656036,-5.308873312,-5.574106496,-5.817877069,-5.878219321,-5.989373309,-6.183624471,-6.277271641,-6.491204458,-6.60190998,-6.784837629,-6.91739563,-7.053140577
-0.192,-6.731314407,-6.619860399,-6.505152145,-6.403843524,-6.224513515,-6.196896994,-6.107102851,-5.795309112,-5.817961466,-5.586961872,-5.507920591,-5.495844635,-5.174090865,-4.960682029,-4.915032356,-4.564113891,-4.479240542,-4.366401835,-4.064405807,-3.920530315,-3.851712649,-3.776633353,-3.570686684,-3.37260462,-3.273882981,-3.271838485,-3.35976636,-3.476658564,-3.607224889,-3.685148447,-3.841815359,-3.931161196,-3.965403124,-4.381549608,-4.833883205,-4.865384452,-5.153068113,-5.257536436,-5.399598586,-5.622030422,-5.673878731,-5.889113332,-6.150843003,-6.23846928,-6.400813156,-6.502787966,-6.716992286,-6.834877146,-7.00952541
-0.1905,-6.661181713,-6.593623483,-6.451607954,-6.370815059,-6.239939995,-6.140726479,-6.009618085,-5.748895772,-5.707088811,-5.525340065,-5.33856562,-5.390462086,-5.116458841,-4.988996253,-4.91915133,-4.559238205,-4.477449083,-4.317524892,-4.015434831,-3.871609878,-3.80174081,-3.725580473,-3.519163731,-3.319144011,-3.21852299,-3.215966786,-3.304134799,-3.421668317,-3.55205576,-3.630238016,-3.784892657,-3.874373486,-3.906552854,-4.177743799,-4.688386926,-4.767041861,-4.911524308,-5.348957143,-5.349746028,-5.663557995,-5.799793714,-5.8507312,-5.97818498,-6.159666877,-6.374930312,-6.460705744,-6.677694656,-6.787090989,-6.924206243
-0.189,-6.624689273,-6.508648854,-6.410677829,-6.255575818,-6.150117009,-6.073719257,-5.903956114,-5.784040297,-5.721004175,-5.516418883,-5.153106932,-5.29733229,-5.0731128,-4.468386499,-4.920011361,-4.554506939,-4.382802019,-4.268705508,-3.966508818,-3.82268868,-3.751561831,-3.674037283,-3.466947145,-3.262542192,-2.430456949,-2.819030821,-3.247466311,-3.365729704,-3.496253179,-3.57461227,-3.728305134,-3.817783431,-3.848224304,-4.056206518,-4.645580662,-4.84656359,-4.990115104,-5.183321456,-5.393013709,-5.629151327,-5.71724728,-5.880504637,-5.892501622,-6.093448099,-6.322640822,-6.416803167,-6.56024052,-6.720027135,-6.858088823
-0.1875,-6.560943111,-6.429194129,-6.34120707,-6.20634488,-6.063015168,-5.955929693,-5.921251929,-5.784691598,-5.670817611,-5.620080646,-5.24398508,-5.064913042,-4.943369049,-4.781761981,-4.614996574,-4.458955738,-4.28314167,-4.219508847,-3.917558324,-3.773445442,-3.701045538,-3.622238131,-3.413589124,-0.017736315,-0.00132225,-0.001766449,-1.056410872,-3.308270103,-3.439986068,-3.51873372,-3.671195578,-3.76147155,-3.790176365,-4.098426113,-4.524594528,-5.026731346,-5.126904294,-5.200767817,-5.413874234,-5.583427501,-5.734771223,-5.690985557,-5.896007801,-6.079293451,-6.211101268,-6.307377915,-6.485037387,-6.65613426,-6.814163806
-0.186,-6.47034939,-6.401576517,-6.276861632,-6.143609824,-6.079616199,-5.857922227,-5.808768774,-5.679659454,-5.594378014,-5.356494862,-5.235034926,-5.220997789,-4.972775621,-4.76855993,-4.699424224,-4.416634828,-4.257403587,-4.170173262,-3.86850992,-3.723843026,-3.650498656,-3.569988659,-0.153490822,-0.00093767,-0.000751765,-0.000829074,-0.001538912,-0.783380645,-3.382923499,-3.461897086,-3.613981798,-3.704879936,-3.732284166,-4.04393339,-4.360565893,-4.838079655,-4.675768294,-5.163644696,-5.451198747,-5.454155269,-5.577154663,-5.606686861,-5.774868335,-6.002577022,-6.172422881,-6.255704645,-6.447475983,-6.617550068,-6.73385486
-0.1845,-6.416278837,-6.351032032,-6.227718959,-6.052469147,-5.932994981,-5.778082206,-5.624230226,-5.629289709,-5.531694885,-5.331461372,-5.173762655,-5.115385319,-4.950923232,-4.738387195,-4.650683049,-4.368433094,-4.199476448,-4.120879475,-3.818881878,-3.674070727,-3.599258794,-3.438569733,-0.001467925,-0.000784948,-0.000665234,-0.000787254,-0.001345678,-0.002482298,-1.950988635,-3.404406736,-3.556639369,-3.648264212,-3.67442591,-3.981185805,-4.35642124,-4.761144886,-4.777420929,-4.905167224,-5.092977096,-5.312565649,-5.580799885,-5.560462738,-5.771081462,-5.899566978,-6.108723127,-6.194743587,-6.36840205,-6.55815208,-6.662487876
-0.183,-6.370168667,-6.263130443,-6.160746017,-6.063032305,-5.856815035,-5.762054058,-5.834248265,-5.478913993,-5.497686678,-5.337849468,-5.217417764,-4.963363916,-4.804667582,-4.574837604,-4.434115701,-4.293908206,-4.153911667,-4.071049555,-3.769409936,-3.624041223,-3.547624513,-0.003429417,-0.001307676,-0.000770276,-0.000667177,-0.000780327,-0.001301443,-0.002282354,-0.002556257,-3.330423225,-3.498613268,-3.591520907,-3.616405062,-3.967453079,-4.391710941,-4.625890832,-4.711034927,-5.100678794,-4.981674852,-5.377638629,-5.345990013,-5.531257128,-5.649392026,-5.854048696,-6.052180224,-6.134339602,-6.316175354,-6.454936855,-6.601903382
-0.1815,-6.329001528,-6.241176521,-6.082319889,-5.98785354,-5.855301713,-5.815963817,-5.770604589,-5.527640818,-5.388094243,-5.224328451,-5.044428214,-4.946719927,-4.76314596,-4.612628011,-4.457413862,-4.29583099,-4.098006282,-4.021144444,-3.719623489,-3.573546988,-2.72037706,-0.001989365,-0.001280317,-0.000773434,-0.000631555,-0.000777202,-0.001300743,-0.002232052,-0.00215819,-0.008895767,-3.439297423,-3.534728104,-3.558351459,-3.864725693,-4.364712155,-4.590209935,-4.711134914,-4.950551157,-4.831697828,-5.245218658,-5.387770551,-5.493304576,-5.664123594,-5.797325916,-5.988593653,-6.042545011,-6.234360128,-6.413450071,-6.534069135
-0.18,-6.273274403,-6.134347867,-6.018285817,-5.908054803,-5.827743216,-5.677475807,-5.508902926,-5.343385067,-5.379967811,-5.209994495,-5.027737717,-4.903301489,-4.669519909,-4.386191324,-4.516334465,-4.229108973,-4.039371887,-3.971176802,-3.669679038,-3.52265203,-0.002708536,-0.001904799,-0.001263592,-0.000747189,-0.0006545,-0.000784244,-0.001275185,-0.002196683,-0.002100796,-0.002015569,-3.300025382,-3.477242012,-3.499979177,-3.764666905,-4.210390719,-4.49163675,-4.617485949,-4.850721233,-5.057185609,-5.277511321,-5.425037086,-5.339518546,-5.578707649,-5.788414185,-5.954535489,-6.04107412,-6.163272746,-6.306979498,-6.461170204
