current,voltage
-0.0885,-6.337593301053294e-05
-0.087,-4.8049799528609626e-05
-0.08549999999999999,-4.699860321734585e-05
-0.08399999999999999,-5.815883557374362e-05
-0.08249999999999999,-5.147405560017496e-05
-0.081,-2.5090706825131565e-05
-0.0795,-5.081409571485289e-05
-0.078,-3.7864282951209726e-05
-0.0765,-2.7587668682430782e-05
-0.075,-4.990455430299936e-05
-0.07350000000000001,-5.311964829754566e-05
-0.07200000000000001,-6.057183379658157e-05
-0.07050000000000001,-3.378926918975486e-05
-0.069,-6.428254277296243e-05
-0.0675,-3.970268908985477e-05
-0.066,-5.341239001253982e-05
-0.0645,-4.032799670416661e-05
-0.063,-4.917447167905693e-05
-0.0615,-3.176689805356763e-05
-0.06,-5.588324457899381e-05
-0.058499999999999996,-3.881019171122571e-05
-0.056999999999999995,-3.574428883217981e-05
-0.0555,-4.330586430602508e-05
-0.054,-1.7872398337980918e-05
-0.0525,-2.3672369836741225e-05
-0.051000000000000004,-1.1711764880196517e-06
-0.0495,-2.118056439768379e-05
-0.048,3.1073721023164126e-05
-0.0465,3.9830805756491914e-05
-0.045,1.884717940346048e-05
-0.0435,2.6076439782528254e-05
-0.041999999999999996,4.662881638580699e-05
-0.0405,9.987414188558416e-06
-0.039,-3.164347720727904e-05
-0.0375,-4.789680649128036e-05
-0.036,-7.301324209217549e-05
-0.0345,-8.325228478171256e-05
-0.033,-0.0001153526632997699
-0.0315,-0.00010650367810356758
-0.03,3.609316827129683e-05
0.0,0.0009356969735026536
0.03,0.0005835857277325951
0.0315,9.44083779858718e-05
0.033,8.527240164330404e-05
0.0345,6.036410997258531e-05
0.036,4.58953361189681e-05
0.0375,2.8950880868316418e-05
0.039,3.008987272126663e-05
0.0405,6.524879243925628e-06
0.041999999999999996,7.191220810090153e-07
0.0435,1.7110333056921354e-05
0.045,1.772027550321233e-05
0.0465,2.0774569791834457e-05
0.048,2.6027628094162282e-05
0.0495,1.5739158204381917e-05
0.051000000000000004,2.272176056155679e-05
0.0525,3.21436538179432e-05
0.054,1.9771519002323243e-05
0.0555,2.874115466362212e-05
0.056999999999999995,4.0710322786783225e-05
0.058499999999999996,2.4957188929911146e-05
0.06,2.747448065566901e-05
0.0615,1.0654751656471547e-05
0.063,3.271705001145883e-05
0.0645,2.9872660623362093e-05
0.066,3.6312095603514106e-05
0.0675,2.8225858280363703e-05
0.069,1.3506452021900112e-05
0.07050000000000001,2.4922057209478087e-05
0.07200000000000001,3.494530559330449e-05
0.07350000000000001,3.403197875891046e-05
0.075,1.6616021123164586e-05
0.0765,4.582792034061564e-06
0.078,1.9140436330212056e-05
0.0795,4.1060931191874664e-05
0.081,5.246484849766659e-05
0.08249999999999999,1.988145118349535e-05
0.08399999999999999,2.925914312745737e-05
0.08549999999999999,4.8795644302865214e-05
0.087,4.339348730566097e-05
0.0885,4.797899185723151e-05
0.09,3.887692994184196e-05
0.0915,5.187859542978525e-05
0.093,5.981167982962748e-05
0.0945,5.3019600348772514e-05
0.096,5.4060368924210795e-05
0.0975,7.096272834354874e-05
0.099,5.501564884681727e-05
0.1005,5.255517119877018e-05
0.10200000000000001,5.6831302721668606e-05
0.1035,6.609158633321196e-05
0.105,7.256313097007199e-05
0.1065,7.567452642960192e-05
0.108,0.0001060429224417614
0.1095,0.00015633723861282158
0.111,0.00017938583220617122
0.1125,0.00030203117156043125
0.114,0.000917468647542606
0.1155,0.010664040929806853
0.117,0.00013843477634030714
0.1185,9.250924582738477e-05
0.12,0.00011985512678001027
0.1215,0.0002453296836004889
0.123,0.0008341353501562699
0.1245,0.010899812135909088
0.126,3.40841689938011e-05
0.1275,-5.0691664572588305e-05
0.129,-2.9142747732949834e-05
0.1305,2.094149729854073e-05
0.132,8.917995803982435e-05
0.1335,0.00019847197628438513
0.135,0.00039812713632997326
0.1365,0.00030528139984777557
0.138,9.768925807832793e-05
0.1395,5.255787942743783e-05
0.14100000000000001,2.932082163474625e-05
0.14250000000000002,0.00012140684375191463
0.14400000000000002,5.760128004471066e-05
0.14550000000000002,-7.646494066000312e-05
0.14700000000000002,-6.458017542476396e-05
0.14850000000000002,-2.2401771409364227e-05
0.15,2.6304369741698824e-05
0.1515,6.767982554925393e-05
0.153,8.478475863843978e-05
0.1545,9.957470346729027e-05
0.156,0.00011939940930952624
0.1575,0.00015669550883410895
0.159,0.0002394460037251251
0.1605,0.0002632654277723002
0.162,0.0032803545611617903
0.1635,3.1685159657413005
0.165,3.28172657773342
