current,voltage
-0.1005,-3.971092633771485e-05
-0.099,-5.707377073004257e-05
-0.0975,-4.564395514645791e-05
-0.096,-4.854726579692434e-05
-0.0945,-3.947857822573103e-05
-0.093,-4.3113982770133196e-05
-0.0915,-4.0142718369413464e-05
-0.09,-3.355036155600736e-05
-0.0885,-4.516440526818231e-05
-0.087,-4.301763567733497e-05
-0.08549999999999999,-3.7898820536557925e-05
-0.08399999999999999,-5.17523365252685e-05
-0.08249999999999999,-5.3631029660298254e-05
-0.081,-5.804311282392439e-05
-0.0795,-3.691528539833761e-05
-0.078,-4.8741240860651e-05
-0.0765,-1.675877758628904e-05
-0.075,-4.973367249510383e-05
-0.07350000000000001,-2.8906218143182125e-05
-0.07200000000000001,-5.522896953115066e-05
-0.07050000000000001,-3.962909748087271e-05
-0.069,-4.3366716953289276e-05
-0.0675,-3.733814479682273e-05
-0.066,-3.918808209627522e-05
-0.0645,-4.931624850598988e-05
-0.063,-3.783552004991484e-05
-0.0615,-4.1769216112138363e-05
-0.06,-4.437501899678585e-05
-0.058499999999999996,-5.174253336166885e-05
-0.056999999999999995,-2.746057690800245e-05
-0.0555,-3.491115279393486e-05
-0.054,-5.3015083647398754e-05
-0.0525,-1.4082116105870024e-05
-0.051000000000000004,-2.187917050156192e-05
-0.0495,-2.4292563277949732e-05
-0.048,-3.340165235455547e-05
-0.0465,-2.3646781198977574e-05
-0.045,-4.241129831665613e-05
-0.0435,-4.362895346108161e-05
-0.041999999999999996,-3.174271351794691e-05
-0.0405,-4.984788815825688e-05
-0.039,-7.05490549154783e-05
-0.0375,-0.00012734381196881692
-0.036,-0.00019220912851492468
-0.0345,-0.0002111794069444937
-0.033,-0.00013702066509688272
-0.0315,-0.0002238757652386218
-0.03,-0.0006201041844451817
0.0,6.844893513764175e-05
0.03,0.0002465464537486555
0.0315,-0.00018565309022737029
0.033,-2.3605295931681777e-05
0.0345,6.709283694460012e-05
0.036,7.298478041448774e-05
0.0375,5.417588961726546e-05
0.039,6.219642155186759e-05
0.0405,4.084817434079228e-05
0.041999999999999996,3.948049702688383e-05
0.0435,2.9730759419152693e-05
0.045,3.791429607239653e-05
0.0465,2.112037323141116e-05
0.048,4.740688068883566e-05
0.0495,3.279143237396436e-05
0.051000000000000004,3.904377778737133e-05
0.0525,3.601779076458081e-05
0.054,4.1311727726999705e-05
0.0555,1.331080711959907e-05
0.056999999999999995,5.626609458341281e-05
0.058499999999999996,2.434245053802374e-05
0.06,6.359679624447241e-05
0.0615,2.615281144974537e-05
0.063,5.134845714018333e-05
0.0645,5.019533311540951e-05
0.066,5.410342836316197e-05
0.0675,5.581249562691653e-05
0.069,6.741822054981387e-05
0.07050000000000001,6.690985062277994e-05
0.07200000000000001,5.043505846844939e-05
0.07350000000000001,7.942866275219117e-05
0.075,4.9241910464079026e-05
0.0765,6.199102510846886e-05
0.078,6.51475617061224e-05
0.0795,8.816173869764538e-05
0.081,9.425728677887344e-05
0.08249999999999999,0.00011532213480626292
0.08399999999999999,0.00017964266353818443
0.08549999999999999,0.0005455159254805744
0.087,0.010427432426815769
0.0885,0.00016376869415060173
0.09,2.361046761394654e-05
0.0915,3.5208284774032106e-05
0.093,5.107666163317086e-05
0.0945,4.7616677322787375e-05
0.096,5.515772652880359e-05
0.0975,5.243644888504901e-05
0.099,4.600578320111959e-05
0.1005,3.515456006932511e-05
0.10200000000000001,7.162192432038866e-05
0.1035,6.270740476386493e-05
0.105,5.964794112322869e-05
0.1065,6.204422294115187e-05
0.108,6.211754640975005e-05
0.1095,5.3973433320278523e-05
0.111,7.121017579921526e-05
0.1125,6.230960933165553e-05
0.114,7.638795880392043e-05
0.1155,5.9105366748691045e-05
0.117,4.518293078148459e-05
0.1185,6.716621424594244e-05
0.12,7.785808904255623e-05
0.1215,8.553099335560234e-05
0.123,6.830765136231866e-05
0.1245,7.111570251394647e-05
0.126,5.954257315672661e-05
0.1275,7.235541108137653e-05
0.129,7.437414641755045e-05
0.1305,8.163856844660778e-05
0.132,8.401966345278554e-05
0.1335,7.656098691200977e-05
0.135,8.442693373888957e-05
0.1365,9.779332844490519e-05
0.138,9.796054209750834e-05
0.1395,8.624601803116089e-05
0.14100000000000001,0.00011972024735183995
0.14250000000000002,0.00010506987841418405
0.14400000000000002,0.00011157472253619395
0.14550000000000002,0.00013444521858697186
0.14700000000000002,0.00011741845319434932
0.14850000000000002,0.00012311342112716629
0.15,0.0001367244961715658
